# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
bang bang mang 	幫幫忙	c=1 d=1 t=20298
bang ding 	綁定	c=1 d=1 t=24092
bang mang 	幫忙	c=24 d=1 t=40423
bang ni 	幫你	c=19 d=1.02016 t=39698
bang ta 	幫他	c=1 d=1 t=37282
bang wo 	幫我	c=5 d=1 t=40915
bang zhu 	幫助	c=3 d=1 t=42571
bao 	包	c=147 d=4.65025 t=44248
bao 	宝	c=1 d=1 t=30369
bao 	报	c=8 d=1 t=33346
bao 	抱	c=1 d=1 t=33930
bao chi 	保持	c=6 d=1 t=38881
bao chu 	報出	c=1 d=1 t=487
bao cun 	保存	c=12 d=1.09778 t=42734
bao cuo 	報錯	c=24 d=1.00015 t=42804
bao cuo le 	報錯了	c=2 d=1 t=38123
bao gao 	報告	c=6 d=1.10399 t=38000
bao han 	包含	c=8 d=1 t=42306
bao hu 	保護	c=1 d=1 t=9570
bao kuo 	包括	c=8 d=1 t=42611
bao li 	暴力	c=2 d=1 t=41761
bao liu 	保留	c=5 d=1 t=41987
bao lu 	暴露	c=2 d=1.59156 t=5271
bao mi 	保密	c=1 d=1 t=22515
bao qian 	抱歉	c=1 d=1 t=37898
bao rong 	包容	c=1 d=1 t=31527
bao tuan 	抱團	c=1 d=1 t=10619
bao xiao 	報銷	c=1 d=1 t=10021
bao yu 	暴雨	c=1 d=1 t=41061
bao zai 	包在	c=1 d=1 t=19143
bao zao 	暴躁	c=1 d=1 t=40715
bao zheng 	保證	c=5 d=1 t=34989
bei 	呗	c=1 d=1 t=34531
bei 	被	c=34 d=1 t=43886
bei 	贝	c=2 d=1.37531 t=264
bei bao 	背包	c=2 d=1 t=22190
bei fen 	備份	c=5 d=1 t=32838
bei hou 	背後	c=1 d=1 t=13027
bei jing 	北京	c=42 d=1.2873 t=43670
bei ni 	被你	c=2 d=1 t=23198
bei ren 	被人	c=1 d=1 t=39553
bei ta 	被他	c=3 d=1 t=43522
bei ta 	貝塔	c=2 d=1 t=5737
bei wo 	被我	c=2 d=1.03337 t=41204
bei xuan 	備選	c=0 d=0.1 t=14055
bei xuan dian 	備選点	c=1 d=1 t=14056
bei ye 	貝葉	c=0 d=0.1 t=7642
bei ye shi 	贝叶式	c=11 d=1.26145 t=14310
bei ye si 	貝葉斯	c=1 d=1 t=7643
ben 	本	c=4 d=1 t=39095
ben chi 	奔馳	c=2 d=1 t=40928
ben di 	本地	c=34 d=1.76063 t=44474
ben gai 	本該	c=1 d=1 t=6670
ben lai 	本來	c=12 d=1 t=39096
ben shen 	本身	c=11 d=2.51061 t=42236
ben zhi 	本質	c=2 d=1 t=32618
ben zhi shang 	本質上	c=5 d=2.04017 t=6656
beng kui 	崩潰	c=2 d=1.75201 t=43581
bi 	壁	c=1 d=1 t=6015
bi 	币	c=1 d=1.09608 t=31740
bi 	比	c=8 d=1.02519 t=37743
bi bao 	閉包	c=1 d=1 t=5817
bi dui 	比對	c=2 d=1.51944 t=37982
bi ji ben 	筆記本	c=8 d=0.891366 t=44474
bi jiao 	比較	c=63 d=1.03002 t=42161
bi jiao chang 	比較長	c=2 d=1 t=31442
bi jiao da 	比較大	c=9 d=1.00023 t=37968
bi jiao duo 	比較多	c=3 d=1 t=34670
bi jiao gao 	比較高	c=1 d=1 t=31934
bi jiao gui 	比較贵	c=2 d=1.00218 t=43062
bi jiao hao 	比較好	c=3 d=1 t=32858
bi jiao kuai 	比較快	c=1 d=1 t=15664
bi jiao shao 	比較少	c=1 d=1 t=67
bi jing 	畢竟	c=3 d=1 t=40530
bi li 	比例	c=4 d=1.00001 t=38020
bi mian 	避免	c=12 d=1.00099 t=23272
bi qi lai 	比起來	c=1 d=1 t=35185
bi ru 	比如	c=19 d=1 t=38719
bi ru shu 	比如书	c=1 d=1 t=3089
bi te 	比特	c=0 d=0.1 t=31732
bi te bi 	比特币	c=1 d=1 t=31733
bi wo 	比我	c=1 d=1 t=26772
bi xu 	必須	c=6 d=1 t=38765
bi xu de 	必須的	c=1 d=1 t=29501
bi ya di 	比亞迪	c=5 d=1.00723 t=42496
bi yao 	必要	c=6 d=1 t=41191
bian 	变	c=2 d=1 t=39939
bian 	边	c=5 d=1.98511 t=32206
bian 	遍	c=2 d=1.00001 t=12337
bian cheng 	編程	c=7 d=1 t=43183
bian cheng 	變成	c=5 d=1 t=37049
bian cheng yu yan 	編程語言	c=1 d=1 t=33130
bian da 	變大	c=1 d=1 t=9139
bian de 	變得	c=2 d=1.01405 t=7373
bian dong 	變動	c=1 d=1 t=20283
bian guo 	編過	c=1 d=1 t=34487
bian hao 	編號	c=1 d=1 t=30340
bian hua 	變化	c=2 d=1 t=17614
bian huan 	變換	c=9 d=1.00345 t=39608
bian jie 	邊界	c=1 d=1 t=30969
bian kuai 	变快	c=1 d=1 t=20183
bian kuang 	邊框	c=2 d=1.00061 t=38555
bian le 	變了	c=1 d=1 t=20933
bian li 	便利	c=1 d=1 t=29680
bian li 	遍歷	c=5 d=1.02004 t=30461
bian liang 	變量	c=74 d=1.00589 t=43689
bian ma 	編碼	c=17 d=1 t=39326
bian pai 	編排	c=3 d=1.96561 t=34372
bian xiao 	變小	c=1 d=1 t=38
bian xie 	編寫	c=8 d=1.11716 t=29466
bian xie dai ma 	編寫代碼	c=1 d=1 t=600
bian yi 	編譯	c=149 d=3.01965 t=44342
bian yi hao 	編譯好	c=1 d=1 t=2114
bian yi qi 	編譯器	c=16 d=1 t=42321
biao 	表	c=6 d=1.48023 t=42942
biao da 	表達	c=8 d=1 t=39919
biao da shi 	表達式	c=5 d=1 t=35574
biao ge 	表格	c=11 d=6.67805 t=38083
biao liang 	標量	c=2 d=1.40252 t=14685
biao qian 	標籤	c=17 d=1 t=40673
biao qing 	表情	c=1 d=1 t=40675
biao shi 	表示	c=29 d=1.9232 t=29750
biao shu 	表述	c=1 d=1 t=12821
biao xian 	表現	c=1 d=1 t=13639
biao zhi 	標誌	c=2 d=1 t=20167
biao zhun 	標準	c=7 d=1 t=38674
biao zhun de 	标准的	c=3 d=1 t=41455
bie 	别	c=33 d=1.00632 t=44009
bie ji 	別急	c=1 d=1 t=35178
bie qu 	別去	c=1 d=1 t=23181
bie ren 	別人	c=7 d=0.995012 t=44474
bie shuo le 	別說了	c=1 d=1 t=39921
bin 	彬	c=100 d=2.15683 t=44472
bin 	斌	c=39 d=1.99501 t=40324
bin jiang 	濱江	c=1 d=1 t=41697
bing 	并	c=13 d=1.0773 t=28977
bing bu 	並不	c=2 d=1 t=14382
bing bu da suan 	並不打算	c=1 d=1 t=6595
bing bu neng 	並不能	c=1 d=1 t=1144
bing can yu 	并參與	c=1 d=1 t=17475
bing fa 	併發	c=3 d=1.97045 t=34340
bing lie 	並列	c=1 d=1 t=4433
bing mei you 	並沒有	c=7 d=1 t=37552
bing qie 	並且	c=4 d=1.0008 t=29879
bing xing 	並行	c=2 d=1.83946 t=39658
bo 	博	c=32 d=1.00088 t=43926
bo 	波	c=2 d=1 t=15247
bo ai 	博愛	c=1 d=1 t=27342
bo dong 	波動	c=4 d=1.00009 t=34625
bo li 	剝離	c=4 d=1 t=43736
bo li suan na 	玻璃酸钠	c=1 d=1 t=2709
bo shi 	博士	c=5 d=1.73712 t=38934
bo zi 	脖子	c=1 d=1 t=33393
bu 	不	c=113 d=1.17465 t=43978
bu an quan 	不安全	c=1 d=0.980199 t=44474
bu bian 	不變	c=1 d=1 t=2461
bu can yu 	不參與	c=1 d=1 t=28466
bu cheng gong 	不成功	c=1 d=1 t=17218
bu chu 	不出	c=2 d=1 t=32116
bu chu lai 	不出來	c=2 d=1 t=38915
bu chu li 	不處理	c=2 d=1 t=15381
bu cun zai 	不存在	c=2 d=1.01666 t=33052
bu cuo 	不錯	c=3 d=1 t=39408
bu da 	不大	c=4 d=1.00013 t=40251
bu da suan 	不打算	c=2 d=1 t=26053
bu dai 	不帶	c=1 d=1 t=42142
bu dao 	不到	c=8 d=1.14808 t=38924
bu dao wei 	不到位	c=2 d=1.98511 t=37954
bu diao yong 	不调用	c=1 d=1 t=39142
bu dong 	不動	c=3 d=1 t=41717
bu duan 	不斷	c=8 d=1 t=28559
bu dui 	不對	c=28 d=1.54427 t=37551
bu dui jin 	不對勁	c=1 d=1 t=37561
bu duo 	不多	c=1 d=1 t=34705
bu fa gei 	不发给	c=1 d=1 t=3074
bu fang bian 	不方便	c=2 d=1 t=39938
bu fen 	不分	c=1 d=1 t=38985
bu fen 	部分	c=9 d=1.96561 t=17398
bu gai 	不該	c=7 d=1.00134 t=42345
bu gai bian 	不改變	c=1 d=1 t=6640
bu gan 	不敢	c=8 d=1.91592 t=31886
bu gan huo 	不幹活	c=1 d=1 t=3044
bu gan wan 	不敢玩	c=1 d=1 t=31556
bu gao 	不高	c=1 d=1 t=35221
bu gei 	不給	c=1 d=1 t=15386
bu geng xin 	不更新	c=1 d=1 t=5558
bu gou 	不夠	c=6 d=1 t=38388
bu gou yong 	不夠用	c=1 d=1 t=34330
bu guan 	不管	c=4 d=1 t=11000
bu guo 	不過	c=47 d=1.61947 t=43650
bu guo 	補過	c=1 d=1 t=8281
bu hao 	不好	c=9 d=1 t=43417
bu hao nong 	不好弄	c=1 d=1 t=27800
bu hao yi si 	不好意思	c=2 d=1 t=37894
bu hao yong 	不好用	c=1 d=1 t=32424
bu he li 	不合理	c=1 d=1 t=26540
bu he ru 	不合入	c=1 d=1 t=38636
bu he shi 	不合適	c=1 d=1 t=23575
bu hui 	不會	c=35 d=1.00448 t=44123
bu huo 	捕獲	c=1 d=1 t=34573
bu ji 	不及	c=1 d=1 t=36058
bu ji 	不急	c=5 d=1 t=39706
bu jia 	不加	c=4 d=1.00097 t=41382
bu jian rong 	不兼容	c=3 d=1.00001 t=44150
bu jian yi 	不建議	c=3 d=1.00767 t=35023
bu jin jin shi 	不僅僅是	c=1 d=1 t=31741
bu jiu 	不就	c=5 d=1 t=43338
bu jiu hao le 	不就好了	c=1 d=1 t=32904
bu jiu shi 	不就是	c=1 d=1 t=42327
bu ju bei 	不具備	c=1 d=1 t=5177
bu jun heng 	不均衡	c=1 d=1 t=31631
bu kao pu 	不靠谱	c=4 d=1 t=26344
bu ke 	不可	c=2 d=1 t=40595
bu ke neng 	不可能	c=3 d=1 t=32648
bu lai 	不來	c=3 d=1.36422 t=25116
bu li yu 	不利於	c=1 d=1 t=14487
bu liao 	不了	c=16 d=1.00002 t=44135
bu liao jie 	不瞭解	c=1 d=1 t=10874
bu lin ken 	不林肯	c=1 d=1 t=16241
bu lu sheng se 	不露聲色	c=1 d=1 t=25173
bu lun 	不論	c=1 d=1 t=15961
bu ma fan 	不麻煩	c=2 d=1 t=29917
bu mai 	不買	c=1 d=1 t=41481
bu min gan 	不敏感	c=1 d=1 t=36581
bu nan 	不難	c=5 d=1 t=34750
bu neng 	不能	c=54 d=1.86504 t=44249
bu pao 	不跑	c=2 d=1 t=40863
bu qi 	不起	c=1 d=1 t=43838
bu qi 	補齊	c=3 d=0.1 t=15736
bu qie 	不切	c=1 d=1 t=28717
bu qing chu 	不清楚	c=1 d=1 t=19894
bu que ding 	不確定	c=1 d=1 t=33472
bu rang 	不讓	c=4 d=2.03295 t=41327
bu ren shi 	不認識	c=1 d=1 t=4551
bu rong yi 	不容易	c=2 d=0.1 t=41843
bu ru 	不如	c=1 d=1 t=27630
bu shang 	不上	c=7 d=1 t=37013
bu shao 	不少	c=1 d=0.104631 t=4618
bu shi 	不是	c=103 d=1.36475 t=44336
bu shi he 	不適合	c=1 d=1 t=6348
bu shi shuo 	不是說	c=1 d=1 t=29148
bu shu 	部署	c=4 d=1.00011 t=27871
bu shu chu 	不輸出	c=1 d=1 t=15990
bu shu xu 	部署需	c=1 d=1 t=3193
bu shuo 	不說	c=1 d=1 t=12394
bu suan 	不算	c=1 d=1 t=12448
bu tai 	不太	c=17 d=0.182499 t=39338
bu tai dong 	不太懂	c=1 d=1 t=44435
bu tai hao 	不太好	c=4 d=1.00423 t=38887
bu tai hao gao 	不太好搞	c=2 d=1 t=33491
bu ti gong 	不提供	c=1 d=1 t=5477
bu ti huan 	不替換	c=1 d=1 t=8393
bu tong 	不同	c=27 d=2.65388 t=44325
bu tong de 	不同的	c=2 d=1.0047 t=11612
bu tong guo 	不通過	c=1 d=1 t=12274
bu tong yi 	不同意	c=1 d=1 t=4816
bu tong yu 	不同於	c=1 d=1 t=14454
bu wen ding 	不穩定	c=7 d=1 t=40943
bu wen ti 	不問題	c=1 d=1 t=34081
bu xi huan 	不喜歡	c=2 d=1.59452 t=34946
bu xia jiang 	不下降	c=1 d=1 t=14140
bu xia qu 	不下去	c=1 d=1 t=39251
bu xiang 	不想	c=11 d=1.10705 t=41317
bu xiang guan 	不相關	c=2 d=1 t=33570
bu xiao chu 	不消除	c=1 d=1 t=41984
bu xing 	不行	c=32 d=2.17689 t=41936
bu xiu gai 	不修改	c=1 d=1 t=1802
bu xu yao 	不需要	c=30 d=1.24931 t=44284
bu ya 	補牙	c=1 d=1 t=18279
bu yao 	不要	c=25 d=1.00008 t=39880
bu yao lian 	不要臉	c=1 d=1 t=13089
bu yao yong 	不要用	c=1 d=1 t=13345
bu yi 	不易	c=1 d=1 t=10205
bu yi ding 	不一定	c=5 d=1.00097 t=35765
bu yi lai 	不依赖	c=2 d=1 t=38993
bu yi yang 	不一樣	c=14 d=1.03548 t=43621
bu yi zhi 	不一致	c=3 d=1 t=36933
bu ying gai 	不應該	c=6 d=0.97531 t=44474
bu ying xiang 	不影響	c=8 d=1 t=43865
bu yong 	不用	c=42 d=1.00226 t=44161
bu yong 	步涌	c=1 d=1 t=5099
bu yong pa 	不用怕	c=1 d=1 t=12974
bu you hao 	不友好	c=1 d=1 t=44313
bu yun xu 	不允許	c=2 d=1 t=18048
bu zai 	不再	c=6 d=1.9458 t=44474
bu zai 	不在	c=8 d=1.00121 t=42389
bu zan cheng 	不贊成	c=1 d=1 t=2612
bu zhang 	部长	c=2 d=1 t=19830
bu zhao ji 	不着急	c=3 d=1.61263 t=7980
bu zheng dang 	不正當	c=1 d=1 t=144
bu zheng jing 	不正經	c=1 d=1 t=26959
bu zheng que 	不正確	c=1 d=1 t=10687
bu zhi chi 	不支持	c=7 d=1 t=43451
bu zhi dao 	不知道	c=22 d=1 t=44415
bu zhi guan 	不直觀	c=1 d=1 t=31167
bu zhi yu 	不至於	c=1 d=1 t=21833
bu zhou 	步驟	c=1 d=1 t=13674
bu zhun que 	不準確	c=1 d=1 t=11108
bu zou 	不走	c=1 d=1 t=16793
bu zu se 	不阻塞	c=1 d=1 t=9486
bu zuo wei 	不作爲	c=2 d=1 t=26017
cai 	才	c=8 d=1.00001 t=43091
cai 	踩	c=1 d=1 t=25665
cai gou 	採購	c=2 d=1 t=41805
cai hao xie 	才好些	c=1 d=1 t=36607
cai hua 	才華	c=1 d=1 t=31507
cai hui 	才会	c=3 d=1 t=27042
cai ji 	採集	c=6 d=1.05156 t=20087
cai jian 	裁減	c=1 d=1 t=37053
cai jing 	財經	c=1 d=1 t=14819
cai ke yi 	才可以	c=1 d=1 t=25859
cai liao 	材料	c=1 d=1 t=19645
cai neng 	才能	c=9 d=1 t=30497
cai shi 	才是	c=5 d=1.15882 t=33789
cai xing 	才行	c=3 d=1 t=31508
cai xu yao 	才需要	c=1 d=1 t=11770
cai yang 	採樣	c=6 d=1 t=19549
cai yang dian 	采样点	c=1 d=1 t=14108
cai you 	才有	c=2 d=1 t=15939
can kan 	參看	c=2 d=1 t=3380
can kao 	參考	c=6 d=1.00126 t=23414
can shu 	參數	c=82 d=1.01339 t=44027
can yu 	參與	c=4 d=1 t=23880
can yu 	殘餘	c=1 d=1 t=10288
can yue 	參閱	c=1 d=1 t=12223
cang ku 	倉庫	c=60 d=1 t=42516
cao 	曹	c=28 d=1 t=43925
cao 	槽	c=2 d=1.956 t=40973
cao 	糙	c=1 d=1 t=18887
cao dan 	操蛋	c=4 d=1 t=37590
cao xin 	操心	c=1 d=1 t=22365
cao zuo 	操作	c=45 d=1.00529 t=40512
cao zuo xi tong 	操作系統	c=2 d=1 t=29899
ce 	侧	c=18 d=1 t=43587
ce lue 	策略	c=9 d=1 t=42615
ce shi 	測試	c=201 d=5.73204 t=44474
ce suan 	測算	c=1 d=0.1 t=40540
ce suan le 	測算了	c=1 d=1 t=40541
ceng 	层	c=1 d=1 t=14617
cha 	差	c=5 d=1 t=31151
cha 	查	c=4 d=1 t=34536
cha bie 	差別	c=6 d=1 t=44265
cha bu dao 	查不到	c=1 d=1 t=17891
cha bu duo 	差不多	c=14 d=1 t=40546
cha jian 	插件	c=2 d=1 t=32032
cha kan 	查看	c=30 d=0.995012 t=44474
cha kao 	查考	c=1 d=1 t=33013
cha ma ke 	查马克	c=1 d=1 t=34852
cha ru 	插入	c=11 d=1.01 t=37718
cha shou 	查收	c=1 d=1 t=17565
cha xie 	差些	c=1 d=1 t=9817
cha xun 	查詢	c=7 d=2.0162 t=29775
cha yi 	差異	c=1 d=1 t=28692
cha yi xia 	查一下	c=1 d=1 t=2295
chai fen 	拆分	c=1 d=1 t=8
chan 	馋	c=1 d=1 t=41160
chan sheng 	產生	c=8 d=1 t=41970
chan shu 	闡述	c=1 d=1 t=14443
chang 	长	c=6 d=1 t=38780
chang an 	長安	c=2 d=1.99005 t=5790
chang du 	長度	c=5 d=1.09827 t=28435
chang e 	嫦娥	c=1 d=1 t=747
chang gui 	常規	c=1 d=1 t=22274
chang jing 	場景	c=12 d=1.00481 t=26992
chang rong 	長榮	c=1 d=1 t=20466
chang shi 	嘗試	c=29 d=1.01878 t=32713
chang shi 	常識	c=1 d=1 t=28629
chang yong 	常用	c=1 d=1 t=42378
chao 	超	c=3 d=1 t=13679
chao dan 	炒蛋	c=1 d=1 t=12724
chao gu 	炒股	c=3 d=1 t=43963
chao guo 	超過	c=7 d=1 t=34349
chao nan bian 	朝南邊	c=1 d=1 t=3937
chao xian cheng 	超线程	c=1 d=1 t=41784
che 	撤	c=1 d=1 t=11027
che 	车	c=4 d=2.7291 t=35044
che dan 	扯淡	c=1 d=0.1 t=33728
che di 	徹底	c=2 d=1 t=34147
che du zi 	扯犊子	c=1 d=1 t=16295
che su 	車速	c=1 d=1 t=7703
che xiao 	撤銷	c=1 d=1 t=25158
chen 	晨	c=8 d=2.97629 t=18861
chen 	陈	c=1 d=1 t=41254
chen bao 	晨報	c=1 d=1 t=813
chen guang 	晨光	c=13 d=1 t=21288
chen mi 	沉迷	c=1 d=1 t=32064
chen qie 	臣妾	c=1 d=1 t=44141
cheng 	成	c=29 d=1.00006 t=44353
cheng du 	成都	c=3 d=1 t=30541
cheng du 	程度	c=4 d=2.58436 t=14706
cheng fa 	乘法	c=1 d=1 t=25354
cheng fen 	成分	c=2 d=1.9802 t=33565
cheng gong 	成功	c=3 d=1 t=17216
cheng gong lv 	成功率	c=1 d=1 t=1607
cheng le 	成了	c=1 d=1 t=25248
cheng ren 	成人	c=1 d=1 t=6098
cheng xu 	程序	c=45 d=1 t=41473
cheng yuan 	成員	c=4 d=1 t=29613
cheng zhang 	成长	c=2 d=1 t=30097
chi 	吃	c=3 d=1.99501 t=39400
chi ba 	喫吧	c=1 d=1 t=12488
chi bu xiao 	喫不消	c=1 d=1 t=31558
chi fan 	吃饭	c=4 d=1.00487 t=41173
chi ge 	喫個	c=1 d=1 t=12290
chi ge fan 	喫個飯	c=1 d=1 t=41127
chi gu 	持股	c=1 d=1 t=16066
chi jiu hua 	持久化	c=1 d=1 t=41495
chi le 	喫了	c=4 d=1 t=40897
chi you 	持有	c=1 d=1 t=17182
chong dian 	充電	c=1 d=1 t=32092
chong die 	重疊	c=2 d=1 t=41097
chong ding xiang 	重定向	c=2 d=1 t=33965
chong fen 	充分	c=4 d=1 t=29556
chong fu 	重複	c=13 d=1.00042 t=39128
chong gou 	重構	c=5 d=1.82329 t=41114
chong pai 	重排	c=1 d=1 t=25016
chong qi 	重啓	c=96 d=1.25185 t=43850
chong qing 	重慶	c=4 d=1.13553 t=15629
chong she 	重設	c=1 d=1 t=661
chong shi 	重試	c=4 d=1 t=16972
chong tu 	衝突	c=4 d=1 t=32431
chong xie 	重寫	c=11 d=2.0121 t=42079
chong xin 	重新	c=45 d=1.48229 t=44359
chong zai 	重載	c=1 d=1 t=5793
chong zhuang 	重裝	c=3 d=1 t=41910
chou 	愁	c=1 d=1 t=33946
chou jin 	抽筋	c=1 d=1 t=16031
chou lou 	醜陋	c=2 d=1 t=32944
chou ma 	籌碼	c=0 d=0.1 t=35430
chou ma tu 	籌碼图	c=1 d=1 t=35431
chou xiang hua 	抽象化	c=1 d=1 t=4943
chu 	出	c=14 d=1.00519 t=43751
chu 	初	c=41 d=1.21331 t=43005
chu bu 	初步	c=4 d=1.00011 t=17954
chu chai 	出差	c=7 d=1.46301 t=40847
chu cuo 	出錯	c=28 d=1.04397 t=40965
chu cuo le 	出錯了	c=1 d=1 t=30177
chu fa 	觸發	c=30 d=1.0005 t=38297
chu fa qi 	觸發器	c=1 d=1 t=30511
chu ge 	出個	c=2 d=1 t=36274
chu huo 	出貨	c=1 d=1 t=53
chu jie guo 	初結果	c=1 d=1 t=39526
chu lai 	出來	c=33 d=1.00001 t=42020
chu le 	除了	c=12 d=1 t=33606
chu li 	處理	c=28 d=1.00137 t=44352
chu li hao 	處理好	c=2 d=1.01906 t=7781
chu li qi 	處理器	c=8 d=1 t=44474
chu ma 	出馬	c=2 d=1 t=25054
chu qi bu yi 	出其不意	c=1 d=1 t=33405
chu qu 	出去	c=3 d=1 t=38801
chu ru 	出入	c=1 d=1 t=27179
chu shi 	初始	c=1 d=1 t=29215
chu shi hua 	初始化	c=5 d=1.00001 t=16106
chu wen ti 	出問題	c=15 d=1.00001 t=42072
chu xian 	出現	c=25 d=1 t=37721
chu yu 	出于	c=1 d=1 t=34812
chu zhong 	初衷	c=3 d=2.86537 t=34819
chuan 	串	c=6 d=1 t=37469
chuan 	传	c=3 d=1 t=39137
chuan 	川	c=2 d=1.53794 t=892
chuan dao 	傳到	c=2 d=1 t=43903
chuan di 	傳遞	c=10 d=1 t=39088
chuan kou 	串口	c=1 d=1 t=26383
chuan ru 	傳入	c=1 d=1 t=4438
chuan shang qu 	傳上去	c=1 d=1 t=22785
chuan shu 	傳輸	c=3 d=1 t=43867
chuan tou 	穿透	c=1 d=1 t=3440
chuang jian 	創建	c=17 d=3.10647 t=38361
chuang shi ren 	創始人	c=1 d=1 t=33954
chuang xin gao 	創新高	c=1 d=1 t=13084
chuang ye 	創業	c=2 d=1 t=43214
chuang ye ban 	創業板	c=3 d=1 t=36131
chun 	纯	c=5 d=0.922835 t=35828
chun 	蠢	c=1 d=1 t=15036
chun shou xie 	纯手寫	c=1 d=1 t=35829
chuo 	戳	c=1 d=1 t=19614
ci 	次	c=6 d=1 t=40956
ci 	磁	c=1 d=1 t=33636
ci ji 	刺激	c=2 d=1 t=33881
ci shu 	次數	c=8 d=1 t=28557
cong 	从	c=22 d=1.0006 t=42722
cong er 	從而	c=6 d=1 t=28138
cong ming 	聰明	c=1 d=1 t=26880
cong tou 	從頭	c=1 d=1 t=16719
cong zhong 	從中	c=1 d=1 t=12900
cou he 	湊合	c=1 d=1 t=43841
cou qiao 	湊巧	c=1 d=1 t=41966
cu cao 	粗糙	c=2 d=1.00002 t=23338
cuan gai 	竄改	c=1 d=1 t=10320
cui ruo 	脆弱	c=3 d=1.00723 t=24189
cui wo 	催我	c=1 d=1 t=21050
cun chu 	存儲	c=19 d=1 t=41496
cun fang 	存放	c=1 d=1 t=17509
cun qian 	存錢	c=1 d=1 t=33871
cun zai 	存在	c=29 d=1.00942 t=42122
cuo 	错	c=5 d=1 t=36158
cuo de 	錯的	c=2 d=1 t=16618
cuo guo lai 	錯過來	c=1 d=1 t=35008
cuo le 	錯了	c=12 d=1.32628 t=44400
cuo wu 	錯誤	c=45 d=1 t=43972
cuo wu ma 	错误码	c=1 d=1 t=20036
da 	大	c=28 d=1 t=44214
da 	打	c=17 d=1.26893 t=39219
da 	搭	c=4 d=1 t=16877
da 	达	c=2 d=1.37531 t=265
da bao 	打包	c=54 d=2.79671 t=44367
da bu fen 	大部分	c=3 d=1.00006 t=6891
da bu kai 	打不開	c=2 d=1 t=42497
da dai kuan 	大帶寬	c=1 d=1 t=35258
da dao 	大道	c=4 d=2.82868 t=42878
da dao 	達到	c=4 d=1.956 t=39188
da dou 	大豆	c=1 d=1 t=4395
da duan 	打斷	c=2 d=1.26982 t=11816
da fu 	大幅	c=1 d=1 t=8835
da gai 	大概	c=10 d=1.00048 t=41404
da gai dong 	大改動	c=1 d=1 t=18094
da ge 	打個	c=6 d=1.00008 t=29406
da gong 	打工	c=1 d=1 t=33033
da gua 	大瓜	c=1 d=1 t=10621
