# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	2975
#@/user_id	ArchLinux
a 	啊	c=2 d=0.674602 t=2975
chang shi jian 	長時間	c=1 d=0.489192 t=2975
chen 	晨	c=4 d=1.29325 t=2975
chen 	陳	c=1 d=0.197899 t=2975
cheng 	成	c=3 d=0.164237 t=2975
cheng de 	成的	c=1 d=1 t=2975
cheng xu 	程序	c=11 d=7.29341 t=2975
chong fu 	重複	c=1 d=0.0439369 t=2975
chong qi 	重啓	c=3 d=0.118244 t=2975
chong tu 	衝突	c=1 d=0.451581 t=2975
chong xin 	重新	c=11 d=1.57905 t=2975
chu 	出	c=2 d=0.0326444 t=2975
chu cuo 	除錯	c=1 d=0.0322254 t=2975
chu fa 	處罰	c=1 d=0.125556 t=2975
chu fa 	觸發	c=6 d=0.734573 t=2975
chu li 	處理	c=1 d=0.0699483 t=2975
chu li qi 	處理器	c=2 d=0.926411 t=2975
chu mo ban 	觸摸板	c=2 d=0.0208868 t=2975
chu xian 	出現	c=1 d=0.0788664 t=2975
chuang jian 	創建	c=1 d=0.00408677 t=2975
ci 	此	c=1 d=0.133988 t=2975
cong 	從	c=1 d=0.640824 t=2975
cuo 	錯	c=1 d=0.0325493 t=2975
cuo wu 	錯誤	c=2 d=0.0277092 t=2975
da 	大	c=2 d=0.328326 t=2975
da 	打	c=1 d=0.0229371 t=2975
da 	達	c=1 d=0.150318 t=2975
da bao 	打包	c=1 d=0.171187 t=2975
da cuo le 	打錯了	c=1 d=0.0642483 t=2975
da gai 	大概	c=1 d=0.465334 t=2975
da jia 	大家	c=8 d=0.953828 t=2975
da pei 	搭配	c=1 d=0.774917 t=2975
da shang 	打上	c=1 d=0.00470091 t=2975
da suan 	打算	c=1 d=0.5975 t=2975
dai 	代	c=1 d=0.980199 t=2975
dai hao 	代號	c=1 d=0.32628 t=2975
dai li 	代理	c=1 d=0.00388746 t=2975
dai ma 	代碼	c=28 d=3.85458 t=2975
dan 	單	c=1 d=0.00694315 t=2975
dan shi 	但是	c=5 d=0.384103 t=2975
dan xin 	擔心	c=1 d=0.496585 t=2975
dao 	到	c=16 d=2.51715 t=2975
dao ru 	導入	c=1 d=0.865022 t=2975
dao wei 	到位	c=1 d=0.19205 t=2975
de 	得	c=1 d=0.650509 t=2975
de 	的	c=143 d=16.2838 t=2975
deng 	等	c=1 d=0.763379 t=2975
deng hui er 	等會兒	c=1 d=0.524663 t=2975
deng ni 	等你	c=1 d=0.106992 t=2975
deng wo 	等我	c=1 d=0.0695994 t=2975
di zhi 	地址	c=1 d=0.0403566 t=2975
dian hua 	電話	c=1 d=0.0235177 t=2975
dian zi 	電子	c=1 d=0.923116 t=2975
diao 	掉	c=1 d=0.110803 t=2975
diao xian 	掉線	c=1 d=0.481909 t=2975
diao yong 	調用	c=10 d=3.09171 t=2975
ding zhi 	定指	c=1 d=0.985112 t=2975
ding zhi hua 	定製化	c=2 d=1.94128 t=2975
diu shi 	丟失	c=1 d=0.606531 t=2975
dong 	東	c=1 d=0.00909528 t=2975
dong xi 	東西	c=1 d=0.843665 t=2975
dou 	都	c=7 d=0.682035 t=2975
dou shi 	都是	c=3 d=0.743974 t=2975
duan 	端	c=1 d=0.621885 t=2975
duan kou 	端口	c=2 d=0.4016 t=2975
duan yan 	斷言	c=1 d=0.182684 t=2975
dui 	對	c=2 d=0.367879 t=2975
dui ying 	對應	c=1 d=0.57695 t=2975
dun 	頓	c=1 d=0.571209 t=2975
duo 	多	c=1 d=0.0273237 t=2975
duo ge 	多個	c=2 d=0.00714171 t=2975
duo jiu 	多久	c=1 d=0.506617 t=2975
duo lie 	多列	c=2 d=1.99005 t=2975
duo shao 	多少	c=1 d=0.00272578 t=2975
duo zhong 	多種	c=1 d=0.0808629 t=2975
e 	額	c=1 d=0.105399 t=2975
en 	恩	c=4 d=0.969249 t=2975
en en 	嗯嗯	c=26 d=3.68923 t=2975
er 	爾	c=1 d=0.117068 t=2975
er cha shu 	二叉樹	c=1 d=0.0247235 t=2975
er hao ji 	二號機	c=1 d=0.612626 t=2975
er ji 	耳機	c=2 d=0.191153 t=2975
er jin zhi 	二進制	c=3 d=1.83377 t=2975
er jin zi 	二进字	c=1 d=0.267136 t=2975
fa 	法	c=2 d=0.338013 t=2975
fa bu 	發佈	c=1 d=0.1764 t=2975
fa huo 	發貨	c=1 d=0.256661 t=2975
fa ni 	發你	c=2 d=0.094496 t=2975
fa she 	發射	c=1 d=0.216536 t=2975
fa wo 	發我	c=3 d=0.22642 t=2975
fa xian 	發現	c=2 d=0.0711161 t=2975
fan hui 	返回	c=1 d=0.499074 t=2975
fan hui zhi 	返回值	c=3 d=0.0280156 t=2975
fan qie 	番茄	c=1 d=0.0728029 t=2975
fan yi 	翻譯	c=1 d=0.529935 t=2975
fan zheng 	反正	c=1 d=0.625003 t=2975
fang bian 	方便	c=2 d=0.0237461 t=2975
fang wen 	訪問	c=1 d=0.318224 t=2975
fei 	非	c=1 d=0.444858 t=2975
fei 	飛	c=23 d=4.79071 t=2975
fei shu 	飛書	c=1 d=1 t=2975
fei yao 	非要	c=1 d=0.612626 t=2975
fen 	分	c=11 d=2.11411 t=2975
fen bie 	分別	c=1 d=0.127454 t=2975
fen bu shi 	分佈式	c=1 d=0.0246002 t=2975
fen fa 	分發	c=1 d=0.246597 t=2975
fen pei 	分配	c=1 d=0.135335 t=2975
fen qu 	分區	c=1 d=0.0285813 t=2975
fen zu 	分組	c=2 d=1.45237 t=2975
feng 	峯	c=3 d=0.937067 t=2975
feng 	鋒	c=2 d=0.842859 t=2975
fu 	負	c=2 d=1.03766 t=2975
fu hao 	符號	c=3 d=1.77667 t=2975
fu wu qi 	服務器	c=16 d=2.41613 t=2975
fu zhi 	複製	c=2 d=0.441555 t=2975
gai le 	改了	c=1 d=0.571209 t=2975
gan 	幹	c=1 d=0.204948 t=2975
gan jing 	乾淨	c=1 d=0.00412785 t=2975
gan jue 	感覺	c=6 d=1.12035 t=2975
gang gang 	剛剛	c=5 d=0.731132 t=2975
gang gu 	港股	c=1 d=0.0724398 t=2975
gao 	告	c=1 d=0.241714 t=2975
gao 	搞	c=3 d=0.282761 t=2975
gao ji 	高級	c=1 d=0.371577 t=2975
ge 	個	c=17 d=2.3225 t=2975
ge 	哥	c=12 d=2.43217 t=2975
ge 	格	c=5 d=0.0625153 t=2975
ge 	歌	c=1 d=0.116484 t=2975
ge ren 	個人	c=2 d=0.378765 t=2975
ge shi 	格式	c=1 d=0.404542 t=2975
gei 	給	c=4 d=1.27493 t=2975
gei ge 	給個	c=1 d=0.628135 t=2975
gei ni 	給你	c=1 d=0.946485 t=2975
gei ta 	給他	c=1 d=0.904837 t=2975
gei wo 	給我	c=5 d=2.09712 t=2975
gen zong 	跟蹤	c=2 d=0.94433 t=2975
geng 	更	c=1 d=0.0587186 t=2975
geng fang bian 	更方便	c=1 d=0.343009 t=2975
geng hao 	更好	c=1 d=0.0117959 t=2975
geng jia 	更佳	c=1 d=0.786628 t=2975
geng xiang 	更像	c=2 d=0.11944 t=2975
geng xin 	庚新	c=1 d=0.155673 t=2975
geng xin 	更新	c=6 d=0.66477 t=2975
git 	git	c=1 d=0.00527382 t=2975
gong ji 	公積	c=1 d=0.591555 t=2975
gong ju 	工具	c=3 d=0.614834 t=2975
gong yao 	公鑰	c=1 d=0.527292 t=2975
gong zi 	工資	c=2 d=0.324652 t=2975
gong zuo 	工作	c=3 d=0.693477 t=2975
gou yong 	夠用	c=1 d=0.680451 t=2975
gu ding 	固定	c=1 d=0.0898153 t=2975
gu fen 	股份	c=1 d=0.332871 t=2975
gu ge 	谷歌	c=2 d=0.237457 t=2975
gu ji 	估計	c=2 d=0.157931 t=2975
gu jian 	固件	c=5 d=1.02614 t=2975
gua 	掛	c=1 d=0.677057 t=2975
gua zai 	掛在	c=1 d=0.339596 t=2975
guan 	管	c=1 d=0.737123 t=2975
guan bi 	關閉	c=1 d=0.00657158 t=2975
guan ji 	關機	c=2 d=0.119481 t=2975
guan li 	管理	c=7 d=1.9997 t=2975
guang 	光	c=3 d=0.863682 t=2975
gui fan 	規範	c=2 d=0.88692 t=2975
gui zheng 	規整	c=1 d=0.302704 t=2975
guo 	過	c=2 d=0.271349 t=2975
guo 	鍋	c=1 d=0.00843809 t=2975
guo jia 	國家	c=1 d=0.226502 t=2975
guo le 	過了	c=1 d=0.548812 t=2975
guo lv 	過濾	c=2 d=1.9605 t=2975
guo qing 	國慶	c=1 d=0.00307331 t=2975
guo qu 	過去	c=1 d=0.798516 t=2975
ha 	哈	c=2 d=0.00534601 t=2975
ha ha 	哈哈	c=1 d=0.00311976 t=2975
hai 	還	c=1 d=0.213312 t=2975
hai bao 	海豹	c=2 d=0.371312 t=2975
hai bu neng 	還不能	c=1 d=0.148823 t=2975
hai mei 	還沒	c=2 d=0.118117 t=2975
hai shi 	還是	c=6 d=0.930972 t=2975
hai you 	還有	c=3 d=1.27038 t=2975
hai you yong 	還有用	c=1 d=0.588605 t=2975
han 	函	c=1 d=0.873716 t=2975
hang 	行	c=2 d=0.446526 t=2975
hang zhou 	杭州	c=6 d=1.14455 t=2975
hao 	好	c=14 d=2.44123 t=2975
hao 	浩	c=1 d=0.00530026 t=2975
hao 	號	c=1 d=0.860708 t=2975
hao de 	好的	c=1 d=0.501576 t=2975
hao hao 	好好	c=1 d=0.0475963 t=2975
hao kan 	好看	c=1 d=0.65377 t=2975
hao le 	好了	c=1 d=0.755784 t=2975
hao xiang 	好像	c=7 d=1.65668 t=2975
hao xie 	好些	c=1 d=0.0102549 t=2975
he 	合	c=1 d=0.00759702 t=2975
he 	和	c=25 d=3.61267 t=2975
he 	盒	c=2 d=0.372934 t=2975
he ru 	合入	c=5 d=0.228258 t=2975
he ru 	喝入	c=1 d=0.00755913 t=2975
he shui 	喝水	c=1 d=0.932393 t=2975
he wo 	和我	c=1 d=0.318224 t=2975
hen duo 	很多	c=2 d=0.459134 t=2975
hen gao xing 	很高興	c=5 d=1.29608 t=2975
hen kuai 	很快	c=1 d=0.0195457 t=2975
hen nan 	很難	c=1 d=0.0437178 t=2975
hong 	宏	c=1 d=0.0513033 t=2975
hong 	洪	c=3 d=0.939693 t=2975
hong 	紅	c=7 d=1.13835 t=2975
hou 	後	c=2 d=0.581599 t=2975
hou mian 	後面	c=7 d=0.54869 t=2975
hou tai 	後臺	c=4 d=0.913132 t=2975
hu lve 	忽略	c=1 d=0.375311 t=2975
hua 	花	c=2 d=0.0130138 t=2975
hua 	話	c=3 d=0.566713 t=2975
hua wei 	華爲	c=5 d=1.2966 t=2975
hua yuan 	花園	c=1 d=0.995012 t=2975
huan 	換	c=2 d=0.959737 t=2975
huan cheng 	換成	c=1 d=0.748264 t=2975
huan cun 	緩存	c=3 d=0.556012 t=2975
huan jian 	幻劍	c=1 d=0.606531 t=2975
huan jing 	環境	c=1 d=0.609571 t=2975
huan jing bian liang 	環境變量	c=1 d=0.0987662 t=2975
hui 	會	c=14 d=2.46675 t=2975
hui bian 	彙編	c=1 d=0.268474 t=2975
hui bu hui 	會不會	c=3 d=0.631284 t=2975
hui fu 	恢復	c=3 d=0.975905 t=2975
hui lai 	回來	c=1 d=0.650509 t=2975
hui yong 	會用	c=1 d=0.045275 t=2975
huo qu 	獲取	c=3 d=0.835834 t=2975
huo zhe 	或者	c=3 d=0.952675 t=2975
ji 	基	c=1 d=0.331211 t=2975
ji cheng 	集成	c=2 d=0.743386 t=2975
ji cuo le 	記錯了	c=1 d=0.186374 t=2975
ji hao 	幾號	c=1 d=0.26982 t=2975
ji hua 	計劃	c=2 d=0.855597 t=2975
ji ke 	極客	c=3 d=0.857923 t=2975
ji lu 	記錄	c=3 d=0.861838 t=2975
ji qi 	機器	c=8 d=1.49918 t=2975
ji suan 	計算	c=2 d=0.872834 t=2975
ji suan ji 	計算機	c=1 d=0.458406 t=2975
ji yu 	基於	c=1 d=0.00990219 t=2975
ji zhi 	機制	c=2 d=0.514274 t=2975
ji zhong 	季重	c=1 d=0.0320647 t=2975
jia 	加	c=8 d=1.06791 t=2975
jia dao 	加到	c=2 d=0.551563 t=2975
jia jin qu 	加進去	c=1 d=0.104874 t=2975
jia ru 	加入	c=1 d=0.726149 t=2975
jia su ka 	加速卡	c=1 d=0.169483 t=2975
jia zai 	加載	c=3 d=0.116863 t=2975
jian 	件	c=12 d=1.45277 t=2975
jian 	建	c=2 d=0.182802 t=2975
jian cha 	檢查	c=13 d=2.95649 t=2975
jian pan 	鍵盤	c=1 d=0.00298248 t=2975
jian ping 	建平	c=2 d=0.423828 t=2975
jian rong xing 	兼容性	c=1 d=0.162026 t=2975
jiang 	講	c=1 d=0.818731 t=2975
jiao 	交	c=1 d=0.00565622 t=2975
jiao ben 	腳本	c=1 d=0.254107 t=2975
jiao cha 	交叉	c=1 d=0.588605 t=2975
jiao cheng 	教程	c=4 d=0.0336249 t=2975
jiao hu 	交互	c=1 d=0.591555 t=2975
jiao liu 	交流	c=2 d=0.622525 t=2975
jie jue 	解決	c=2 d=0.190444 t=2975
jie ru 	接入	c=1 d=0.394554 t=2975
jie shi qi 	解释器	c=1 d=0.790571 t=2975
jie ya 	解壓	c=1 d=0.179066 t=2975
jin cheng 	進程	c=2 d=0.715338 t=2975
jin lai 	進來	c=1 d=0.0350844 t=2975
jin xing 	進行	c=1 d=0.00486835 t=2975
jin yong 	禁用	c=1 d=0.995012 t=2975
jing dong 	京東	c=1 d=0.00318278 t=2975
jing tai 	靜態	c=3 d=1.11981 t=2975
jiu 	就	c=12 d=2.51651 t=2975
jiu hao 	就好	c=1 d=0.0507928 t=2975
jiu ke yi 	就可以	c=2 d=0.787492 t=2975
jiu shi 	就是	c=4 d=1.383 t=2975
ju yu wang 	局域網	c=1 d=0.00293808 t=2975
ka 	卡	c=1 d=0.431711 t=2975
ka dun 	卡噸	c=1 d=0.946485 t=2975
ka dun 	卡頓	c=1 d=0.763379 t=2975
ka si 	卡死	c=4 d=3.61872 t=2975
ka tong 	卡通	c=2 d=0.373173 t=2975
kai 	開	c=1 d=0.960789 t=2975
kai fa 	開發	c=2 d=0.258101 t=2975
kai ji 	開機	c=1 d=0.00367942 t=2975
kai le 	開了	c=1 d=0.0183156 t=2975
kai qi 	開啓	c=2 d=0.149605 t=2975
kai yuan 	開源	c=1 d=0.00683978 t=2975
kan 	看	c=7 d=1.60833 t=2975
kan dao 	看到	c=2 d=0.814647 t=2975
kan kan 	看看	c=9 d=4.21205 t=2975
kan le 	看了	c=3 d=1.36988 t=2975
kan wo 	看我	c=1 d=0.0478349 t=2975
kan yi xia 	看一下	c=5 d=1.519 t=2975
kao bei 	拷貝	c=1 d=0.00351752 t=2975
kao lv 	考慮	c=1 d=0.0495387 t=2975
kao pu 	靠譜	c=1 d=0.694197 t=2975
ke 	科	c=2 d=0.941765 t=2975
ke hu duan 	客戶端	c=2 d=0.306664 t=2975
ke neng 	可能	c=4 d=0.916859 t=2975
ke yi 	可以	c=37 d=3.6524 t=2975
kong 	空	c=1 d=0.0230521 t=2975
ku 	庫	c=6 d=0.958807 t=2975
kuai 	快	c=2 d=0.419148 t=2975
kuai jie jian 	快捷鍵	c=2 d=0.572437 t=2975
kuai su 	快速	c=1 d=0.995012 t=2975
kuang jia 	框架	c=1 d=0.318224 t=2975
la 	拉	c=1 d=0.740818 t=2975
la ji 	垃圾	c=1 d=0.120032 t=2975
lai 	來	c=11 d=2.27919 t=2975
lao 	老	c=4 d=1.50916 t=2975
lao ban ben 	老版本	c=1 d=0.143704 t=2975
lao shi 	老師	c=11 d=5.14625 t=2975
le 	了	c=74 d=7.97999 t=2975
lei 	雷	c=1 d=0.207008 t=2975
lei si 	類似	c=3 d=1.33199 t=2975
li 	理	c=4 d=0.855618 t=2975
li 	裏	c=1 d=0.151072 t=2975
li 	麗	c=2 d=0.91977 t=2975
li hai 	厲害	c=1 d=0.516851 t=2975
li mian 	裏面	c=13 d=1.44286 t=2975
li mian lai 	裏面來	c=1 d=0.856415 t=2975
li zi 	例子	c=7 d=1.23731 t=2975
lian he 	聯合	c=7 d=1.33678 t=2975
lian jie 	鏈接	c=2 d=0.890849 t=2975
lian xu 	連續	c=1 d=0.637628 t=2975
liang ci 	兩次	c=1 d=0.00423235 t=2975
liang du 	亮度	c=1 d=0.704688 t=2975
liang ge 	兩個	c=7 d=0.522902 t=2975
liao 	聊	c=1 d=0.0236356 t=2975
liao tian 	聊天	c=1 d=0.0485578 t=2975
ling huo xing 	靈活性	c=1 d=0.527292 t=2975
ling qu 	領取	c=1 d=0.251579 t=2975
ling yi ge 	另一個	c=1 d=0.729789 t=2975
liu cheng 	流程	c=1 d=0.0051694 t=2975
liu fei 	劉飛	c=1 d=0.278037 t=2975
liu le 	溜了	c=1 d=0.23457 t=2975
long 	隆	c=1 d=0.329559 t=2975
long 	龍	c=1 d=0.65377 t=2975
luo hou 	落後	c=1 d=0.826959 t=2975
ma 	嗎	c=17 d=2.14449 t=2975
ma 	碼	c=1 d=0.113042 t=2975
ma fan 	麻煩	c=2 d=0.0389282 t=2975
ma tie mu 	嗎貼目	c=1 d=0.267135 t=2975
mai 	買	c=1 d=0.00319873 t=2975
man 	慢	c=2 d=0.437452 t=2975
mei 	沒	c=3 d=0.0300862 t=2975
mei fa 	沒法	c=2 d=0.323034 t=2975
mei ge 	每個	c=1 d=0.0347353 t=2975
mei ge ren 	每個人	c=1 d=0.193013 t=2975
mei sha 	沒啥	c=3 d=0.896003 t=2975
mei shi 	沒事	c=1 d=0.0500366 t=2975
mei yi ge 	每一個	c=1 d=0.0566989 t=2975
mei yi tai 	每一臺	c=1 d=0.210136 t=2975
mei yong 	沒用	c=1 d=0.0982735 t=2975
mei you 	沒有	c=12 d=1.70493 t=2975
mei yu dao 	沒遇到	c=1 d=0.0342182 t=2975
mi ma 	密碼	c=10 d=1.92179 t=2975
miao shu 	描述	c=1 d=0.375312 t=2975
ming 	名	c=2 d=0.798663 t=2975
ming cheng 	名稱	c=1 d=0.479505 t=2975
ming ling 	命令	c=6 d=1.94456 t=2975
ming ling 	明令	c=1 d=0.0858632 t=2975
ming ling hang 	命令行	c=1 d=0.0126513 t=2975
mo ban 	模板	c=1 d=0.181772 t=2975
mo diao 	抹掉	c=1 d=0.109701 t=2975
mo kuai 	模塊	c=4 d=0.110882 t=2975
mo shi 	模式	c=1 d=0.416862 t=2975
mo shou 	摸手	c=1 d=0.414783 t=2975
mo xing 	模型	c=2 d=0.97108 t=2975
mou ge 	某個	c=1 d=0.0105672 t=2975
mu lu 	目錄	c=10 d=1.54259 t=2975
mu qian 	目前	c=5 d=0.954869 t=2975
na 	那	c=6 d=1.43198 t=2975
na bian 	那邊	c=2 d=0.632404 t=2975
na diao 	拿掉	c=1 d=0.0510474 t=2975
na ge 	那個	c=24 d=3.94854 t=2975
na ji ge 	那幾個	c=1 d=0.308819 t=2975
na ke yi 	那可以	c=1 d=0.546074 t=2975
na li 	哪裏	c=2 d=0.852144 t=2975
na me 	那麼	c=1 d=0.537944 t=2975
na wo 	拿我	c=1 d=0.752014 t=2975
na xie 	那些	c=1 d=0.166128 t=2975
nan 	南	c=1 d=0.927743 t=2975
nan 	難	c=1 d=0.228779 t=2975
nan zuo 	難做	c=1 d=0.229925 t=2975
ne 	呢	c=2 d=0.510885 t=2975
nei 	內	c=1 d=0.111917 t=2975
nei he 	內核	c=11 d=3.2334 t=2975
nei rong 	內容	c=1 d=0.00484407 t=2975
neng 	能	c=13 d=1.53167 t=2975
neng bu neng 	能不能	c=1 d=0.156453 t=2975
ni 	你	c=43 d=9.25169 t=2975
ni 	擬	c=1 d=0.00379148 t=2975
ni de 	你的	c=2 d=1.05278 t=2975
ni hao 	你好	c=3 d=0.960789 t=2975
ni men 	你們	c=7 d=2.60854 t=2975
nian tie 	粘貼	c=1 d=0.00687406 t=2975
nong 	弄	c=2 d=0.786772 t=2975
nong dao 	弄到	c=1 d=0.470011 t=2975
o o 	哦哦	c=7 d=0.726084 t=2975
o o o 	哦哦哦	c=2 d=0.608633 t=2975
pai xu 	排序	c=2 d=0.101634 t=2975
pan duan 	判斷	c=3 d=0.352431 t=2975
pao 	跑	c=19 d=3.22783 t=2975
pao dao 	跑到	c=2 d=1.6232 t=2975
pao qi lai 	跑起來	c=2 d=0.838135 t=2975
pei 	配	c=2 d=0.0308383 t=2975
pei zhi 	配製	c=4 d=0.044927 t=2975
piao liang 	漂亮	c=1 d=0.913931 t=2975
pin lv 	頻率	c=1 d=0.165299 t=2975
pin yin 	拼音	c=3 d=1.84874 t=2975
ping 	平	c=1 d=0.092089 t=2975
ping bi 	屏蔽	c=1 d=0.0273237 t=2975
ping guo 	蘋果	c=2 d=0.321631 t=2975
po 	坡	c=1 d=0.0207543 t=2975
ps 	ps	c=1 d=0.104873 t=2975
qi 	其	c=1 d=0.128735 t=2975
qi 	器	c=1 d=0.165299 t=2975
qi dong 	啓動	c=3 d=0.927821 t=2975
qi lai 	起來	c=2 d=1.22175 t=2975
qi shi 	其實	c=1 d=0.0146986 t=2975
qi ta 	其他	c=2 d=0.539131 t=2975
qi tu 	企圖	c=1 d=0.00384878 t=2975
qian 	錢	c=1 d=0.00301753 t=2975
qian hou 	前後	c=1 d=0.644036 t=2975
qian mian 	前面	c=1 d=0.554327 t=2975
qiang 	強	c=4 d=0.976205 t=2975
qiang xing 	強行	c=1 d=0.00752142 t=2975
qie huan 	切換	c=2 d=0.117482 t=2975
qin 	琴	c=1 d=0.869358 t=2975
qing 	清	c=3 d=0.272404 t=2975
qing 	請	c=3 d=1.14164 t=2975
qing chu 	清楚	c=1 d=0.0365162 t=2975
qing jiao 	請教	c=2 d=0.0536856 t=2975
qing kong 	清空	c=1 d=0.178173 t=2975
qing kuang 	情況	c=1 d=0.995012 t=2975
qing li 	清理	c=2 d=0.296717 t=2975
qu 	去	c=4 d=0.898261 t=2975
qu 	取	c=1 d=0.00421124 t=2975
qu bie 	區別	c=1 d=0.398519 t=2975
qu diao 	去掉	c=1 d=0.70822 t=2975
qu dong 	驅動	c=5 d=1.41046 t=2975
qu dong he 	驅動和	c=1 d=0.396531 t=2975
qu jian 	區間	c=1 d=0.20089 t=2975
quan xian 	全險	c=1 d=0.211189 t=2975
quan xian 	權限	c=1 d=0.212248 t=2975
quan zhi 	全職	c=1 d=0.13068 t=2975
que 	雀	c=1 d=0.00680566 t=2975
que ding 	確定	c=1 d=0.193013 t=2975
que ren 	確認	c=1 d=0.640824 t=2975
que shi 	確實	c=2 d=0.720252 t=2975
ran hou 	然後	c=12 d=1.95337 t=2975
ran hou ne 	然后呢	c=1 d=0.715338 t=2975
ren 	人	c=5 d=0.67986 t=2975
ren shi 	認識	c=1 d=0.99005 t=2975
ren wu 	任務	c=6 d=0.158378 t=2975
